"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001590655","지금 당장 포르쉐를 타라 :부자가 되고 싶다면, 철저히 본인을 부자처럼 포장하라!","김민성 지음","Mindset: 바이포엠 스튜디오","2023","9791192579399","3","8"
"000001591075","챗GPT와 글쓰기 :ChatGPT와 함께하는 AI 글쓰기 실전","김철수 지음","위키북스","2023","9791158394233","0","8"
"000001473764","천문학자는 별을 보지 않는다","심채경 지음","문학동네","2021","9788954677257","4","8"
"000000947589","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략","팀 페리스 지음","토네이도미디어그룹(TORNADO)","2017","9791158510619","3","8"
"000001280251","팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유","한스 로슬링","김영사","2019","9788934985068","1","8"
"000001626901","풍수전쟁 :김진명 장편소설","김진명 지음","이타: 이타북스","2023","9791167763846","8","8"
"000001589656","희망의 끈","히가시노 게이고 지음","재인","2022","9791192483146","8","8"
"000001524922","(1일 1로그 100일 완성) IT 지식 :하드웨어, 소프트웨어, 통신, 데이터, 4가지 IT 근육으로 디지털 문해력 기르기","브라이언 W. 커니핸 지음","인사이트","2021","9788966263301","0","7"
"000001509078","(서울 자가에 대기업 다니는) 김 부장 이야기 .2 ,정 대리?권 사원 편","송희구 지음","서삼독","2021","9791165344009","3","7"
"000001516471","(서울 자가에 대기업 다니는) 김 부장 이야기 .3 ,송 과장 편","송희구 지음","서삼독","2021","9791165344221","3","7"
"000001546676","10배의 법칙 :성공과 실패를 가르는 유일한 차이","그랜트 카돈 지음","부키","2022","9788960519145","3","7"
"000001511662","1차원이 되고 싶어 :박상영 장편소설","박상영 지음","문학동네","2021","9788954682749","8","7"
"000000036052","고래 :천명관 장편소설","천명관 지음","문학동네","2007","8982819274","8","7"
"000001405842","공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가","마이클 샌델 지음","와이즈베리: 미래엔","2020","9791164136452","3","7"
"000001265787","기린과 자칼이 함께 춤출 때 :마음과 마음을 이어 주는 비폭력대화","세레나 루스트 지음","한국NVC센터","2018","9791185121260","8","7"
"000000681641","김이나의 작사법 :우리의 감정을 사로잡는 일상의 언어들","김이나 [지음]","문학동네","2015","9788954635608","6","7"
"000001393792","내가 죽으면 장례식에 누가 와줄까","김상현 지음","필름(Feelm)","2020","9791188469468","8","7"
"000001515463","다정소감 :다정이 남긴 작고 소중한 감정들: 김혼비 산문집","김혼비 지음","안온: 안온북스","2021","9791197504136","8","7"
"000001550979","당신은 결국 무엇이든 해내는 사람 :김상현 에세이","김상현 지음","필름: 필름(Feelm) 출판사","2022","9791188469994","8","7"
"000001627451","당신의 남자를 죽여드립니다 :엘 코시마노 장편소설","엘 코시마노 지음","인플루엔셜","2023","9791168341050","8","7"
"000001591149","더 좋은 삶을 위한 철학 :천사와 악마 사이 더 나은 선택을 위한 안내서","마이클 슈어 지음","김영사","2023","9788934965909","1","7"
"000000787299","돈, 뜨겁게 사랑하고 차갑게 다루어라","앙드레 코스톨라니 [지음]","미래의창","2001","9788959893546","3","7"
"000001589683","돈은 좋지만 재테크는 겁나는 너에게 :혼자서는 막막한 20대에게 뿅글이가 알려주는 돈을 다루고 불리는 비밀","뿅글이 지음","BM황금부엉이: 첨단","2023","9788960306134","3","7"
"000001590534","돈의 규칙","신민철 지음","베가북스","2023","9791192488257","3","7"
"000001462551","돈의 심리학 :당신은 왜 부자가 되지 못했는가","모건 하우절 지음","인플루엔셜","2021","9791191056372","3","7"
"000000788935","라플라스의 마녀 :히가시노 게이고 장편소설","히가시노 게이고 지음","현대문학","2016","9788972757573","8","7"
"000001590666","러브 몬스터 :이두온 장편소설 =Love monster","이두온 지음","창비","2023","9788936438999","8","7"
"000000035655","모순 :양귀자 장편소설","양귀자 지음","살림출판사","1998","8985577921","8","7"
"000001359312","목소리를 드릴게요 :정세랑 소설집","정세랑 지음","아작","2020","9791165300005","8","7"
"000001627738","문과 남자의 과학 공부 :나는 무엇이고 왜 존재하며 어디로 가는가?","유시민 지음","돌베개","2023","9791192836188","0","7"
"000001523906","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기","룰루 밀러 지음","곰출판","2021","9791189327156","4","7"
"000001562851","믿음에 대하여 :박상영 연작소설","박상영 지음","문학동네","2022","9788954699808","8","7"
